sigla,seccion,dia,clave_ini,clave_fin,actividad,sede,sala,paridad,hora_inicio,hora_fin
FIN100-14,01,JUE,9,10,TAL,IBC,2-5,PAR,14:30,15:40
FIN100-14,01,JUE,9,10,AY,,,PAR,14:30,15:40
FIN100-14,01,MAR,11,12,CAT,IBC,2-5,PAR,15:50,17:00
FIN100-14,02,JUE,9,10,TAL,IBC,2-1,PAR,14:30,15:40
FIN100-14,02,JUE,9,10,AY,,,PAR,14:30,15:40
FIN100-14,02,MAR,11,12,CAT,IBC,2-1,PAR,15:50,17:00
FIN100-14,03,JUE,11,12,TAL,IBC,2-6,PAR,15:50,17:00
FIN100-14,03,JUE,11,12,AY,,,PAR,15:50,17:00
FIN100-14,03,LUN,9,10,CAT,IBC,2-5,PAR,14:30,15:40
FIN100-14,04,JUE,11,12,TAL,IBC,2-1,PAR,15:50,17:00
FIN100-14,04,JUE,11,12,AY,,,PAR,15:50,17:00
FIN100-14,04,LUN,9,10,CAT,IBC,2-1,PAR,14:30,15:40
FIN100-14,05,MAR,9,10,CAT,IBC,2-6,PAR,14:30,15:40
FIN100-14,05,MAR,11,12,TAL,IBC,2-6,PAR,15:50,17:00
FIN100-14,05,MAR,11,12,AY,,,PAR,15:50,17:00
FIN100-14,06,LUN,11,12,CAT,IBC,2-5,PAR,15:50,17:00
FIN100-14,06,MAR,9,10,TAL,IBC,2-1,PAR,14:30,15:40
FIN100-14,06,MAR,9,10,AY,,,PAR,14:30,15:40
FIN100-14,07,LUN,11,12,CAT,IBC,2-1,PAR,15:50,17:00
FIN100-14,07,MAR,9,10,TAL,IBC,2-5,PAR,14:30,15:40
FIN100-14,07,MAR,9,10,AY,,,PAR,14:30,15:40
FIS1002-XX,01,LUN,7,8,CAT,,,PAR,12:20,13:30
FIS1002-XX,01,MAR,11,12,TAL,,,PAR,15:50,17:00
FIS1002-XX,01,MIE,7,8,CAT,,,PAR,12:20,13:30
FIS1002-XX,01,VIE,7,8,CAT,,,PAR,12:20,13:30
ICA4161,02,LUN,13,14,CAT,,,PAR,17:10,18:20
ICA4161,02,MAR,13,14,CAT,,,PAR,17:10,18:20
INF1211,01,LUN,5,6,CAT,IBC,1-3,PAR,11:00,12:10
INF1211,01,MAR,7,8,CAT,IBC,1-3,PAR,12:20,13:30
INF1211,01,VIE,1,2,AY,IBC,1-3,PAR,08:15,09:25
INF1211,02,LUN,5,6,CAT,SIB,3-2,PAR,11:00,12:10
INF1211,02,MAR,7,8,CAT,SIB,3-1,PAR,12:20,13:30
INF1211,02,VIE,1,2,AY,ING AU,4-4,PAR,08:15,09:25
INF1211,03,LUN,5,6,AY,IBC,2-11,PAR,11:00,12:10
INF1211,03,MAR,5,6,CAT,SIB,3-2,PAR,11:00,12:10
INF1211,03,VIE,7,8,CAT,SIB,3-2,PAR,12:20,13:30
INF1214,01,JUE,9,10,CAT,IBC,2-11,PAR,14:30,15:40
INF1214,01,MIE,9,10,CAT,IBC,2-11,PAR,14:30,15:40
INF1214,01,VIE,11,12,AY,IBC,2-11,PAR,15:50,17:00
INF1214,02,JUE,9,10,CAT,IBC,S1-2,PAR,14:30,15:40
INF1214,02,MIE,11,12,CAT,SIB,3-1,PAR,15:50,17:00
INF1214,02,VIE,11,12,AY,SIB,3-1,PAR,15:50,17:00
INF2223,01,JUE,9,12,CAT,IBC,S1-3,PAR,14:30,17:00
INF2223,01,VIE,9,10,AY,IBC,2-5,PAR,14:30,15:40
INF2235,01,JUE,3,4,CAT,IBC,2-1,PAR,09:35,10:45
INF2235,01,MAR,3,4,CAT,IBC,2-4,PAR,09:35,10:45
INF2235,01,MAR,7,8,AY,ING AU,S1-1,PAR,12:20,13:30
INF2235,02,JUE,3,4,AY,ING AU,S1-1,PAR,09:35,10:45
INF2235,02,JUE,5,6,CAT,IBC,2-4,PAR,11:00,12:10
INF2235,02,MAR,7,8,CAT,IBC,2-1,PAR,12:20,13:30
INF2236,01,JUE,9,10,CAT,IBC,2-4,PAR,14:30,15:40
INF2236,01,JUE,11,12,AY,IBC,2-4,PAR,15:50,17:00
INF2236,01,VIE,9,10,CAT,IBC,1-3,PAR,14:30,15:40
INF2236,02,JUE,9,12,CAT,FIN,1-3,PAR,14:30,17:00
INF2236,02,VIE,9,10,AY,FIN,2-4,PAR,14:30,15:40
INF2237,01,LUN,5,6,CAT,IBC,2-1,PAR,11:00,12:10
