sigla,seccion,nombre,codigo_completo
AGR010,1,AGRICULTURA URBANA,AGR010-1
ALI012,1,"ALIMENTOS, NUTRICION Y SALUD",ALI012-1
ALI012,2,"ALIMENTOS, NUTRICION Y SALUD",ALI012-2
ALI016,1,EL MUNDO DE LA CERVEZA,ALI016-1
ALI017,1,LA CIENCIA DE LOS ALIMENTOS,ALI017-1
ALI018,1,MITOS Y VERDADES DE LOS ADITIVOS ALIMENTARIOS,ALI018-1
ALI019,1,MITOS Y VERDADES DE LOS ALIMENTOS PROCESADOS,ALI019-1
ALI021,1,SUPERALIMENTOS Y DONDE ENCONTRARLOS,ALI021-1
ARQ059,1,EL JUEGO EN LA CULTURA HUMANA,ARQ059-1
ARQ059,2,EL JUEGO EN LA CULTURA HUMANA,ARQ059-2
ARQ065,1,ETHOS DEL OFICIO Y ETICA DE LA PROFESION: CARTOGRAFIAS EN TORNO AL HACER Y EL PENSAR,ARQ065-1
ART022,1,EL DIBUJO Y LA MIRADA. SEMINARIO-TALLER,ART022-1
ART031,1,"EL LIBRO Y SUS FORMAS: HISTORIA, TECNICAS Y CREACION",ART031-1
ART052,1,LA MIRADA DE LA PINTURA,ART052-1
ART053,1,POESIA EN EL ROCK,ART053-1
ART060,1,TALLER DE TEATRO CONTEMPORANEO,ART060-1
ART061,1,TALLER DE TEATRO: ACTUACION INICIAL,ART061-1
ART078,1,CINE LATINOAMERICANO,ART078-1
ART083,1,AMERICA LATINA EN TEXTOS E IMAGENES,ART083-1
ART085,1,CREACION POETICA: SEMINARIO - TALLER,ART085-1
BIO035,1,BOTANICA COTIDIANA: RELACION DEL HOMBRE CON LAS PLANTAS,BIO035-1
DER014,1,"DISCAPACIDAD, SU PROYECCION INTERDISCIPLINARIA EN LA PROMOCION, RESPETO Y EJERCICIO DE LOS DERECHOS DE LAS PERSONAS EN SITUACION DE DISCAPACIDAD",DER014-1
DER021,1,EL PROCESO POLITICO CHILENO (SIGLOS XIX Y XX),DER021-1
DER050,1,SALUD MENTAL Y LOS DERECHOS DE LAS PERSONAS: SU PROYECCION INTERDISCIPLINARIA,DER050-1
DER053,1,DERECHO Y POLITICA A TRAVES DEL CINE Y LA LITERATURA,DER053-1
DER054,1,EL DERECHO EN DIALOGO CON EL ARTE,DER054-1
DER055,1,TALLER: CONFLICTO Y DISTINTAS FORMAS DE GESTION Y RESOLUCION,DER055-1
EFI023,1,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-1
EFI023,2,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-2
EFI023,3,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-3
EFI023,4,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-4
EFI023,5,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-5
EFI023,6,AUTOCUIDADO Y VIDA SALUDABLE,EFI023-6
EFI027,1,"ACTIVIDAD FISICA, SALUD Y SOSTENIBILIDAD",EFI027-1
EFI075,1,ACTIVIDADES MOTRICES EN LA NATURALEZA E INCLUSION,EFI075-1
EFI080,1,EL HOMBRE Y LOS JUEGOS,EFI080-1
EFI080,2,EL HOMBRE Y LOS JUEGOS,EFI080-2
EFI080,3,EL HOMBRE Y LOS JUEGOS,EFI080-3
EFI085,1,JUEGOS MAPUCHES (ARAUCANOS) DE CHILE,EFI085-1
EFI085,2,JUEGOS MAPUCHES (ARAUCANOS) DE CHILE,EFI085-2
EFI085,3,JUEGOS MAPUCHES (ARAUCANOS) DE CHILE,EFI085-3
EFI085,4,JUEGOS MAPUCHES (ARAUCANOS) DE CHILE,EFI085-4
EIB011,1,ECONOMIA CIRCULAR Y SOCIEDAD,EIB011-1
EII020,1,INICIANDO MI NEGOCIO COMO PROFESIONAL,EII020-1
EII025,1,INNOVACION PARA MI PROFESION,EII025-1
EII045,1,GESTION PARA LA DIVERSIDAD E INCLUSION SOCIAL,EII045-1
EPE060,1,DIVERSIDAD E INCLUSION: OPORTUNIDADES DESDE LAS RESPONSABILIDADES PROFESIONALES,EPE060-1
EPE073,1,CULTURA Y CIUDADANIA DIGITAL,EPE073-1
EPE090,1,ETICIDAD DE LAS PROFESIONES,EPE090-1
EST030,1,"EXCEL, DE BASICO A INTERMEDIO",EST030-1
FIL012,1,UNA APROXIMACION A EXPERIENCIAS FUNDAMENTALES DEL SER HUMANO,FIL012-1
FIL014,1,LOS DESAFIOS DEL HUMANISMO DEL SIGLO XXI,FIL014-1
FIS017,1,FISICA Y TAMAÑO,FIS017-1
FIS047,1,FUNDAMENTOS DE ASTRONOMIA,FIS047-1
FIS047,2,FUNDAMENTOS DE ASTRONOMIA,FIS047-2
GEO014,1,ESTUDIOS AMBIENTALES Y CAMBIO CLIMATICO,GEO014-1
GEO026,1,GEOGRAFIA NATURAL Y SOCIAL DE CHILE: INTERFAZ PARA UN ENTENDIMIENTO INTEGRAL DEL TERRITORIO,GEO026-1
HIS013,1,PROBLEMAS Y PROTAGONISTAS DE LA HISTORIA POLITICA DE CHILE Y ARGENTINA SIGLO XXY XXI,HIS013-1
HIS015,1,HISTORIA DE LAS RELACIONES INTERNACIONALES,HIS015-1
HIS016,1,"HISTORIA PREMODERNA DE ASIA ORIENTAL: CHINA, COREA Y JAPON",HIS016-1
HIS019,1,PERSPECTIVAS EN LA HISTORIA DE LA MUJER Y GENERO,HIS019-1
HIS021,1,HISTORIA MODERNA Y CONTEMPORANEA DEL ESTE DE ASIA: CHINA COREA Y JAPON,HIS021-1
HIS022,1,HUMANIDADES DIGITALES: EL CASO DE WIKIPEDIA,HIS022-1
ICA014,1,ECONOMIA CIRCULAR EN EL EMPRENDIMIENTO,ICA014-1
ICA020,1,CONSTRUYE TU MARCA PERSONAL,ICA020-1
ICA070,1,¿VAMOS HACIA UN NUEVO ORDEN MUNDIAL?: CRISIS GEOPOLITICAS E IMPACTO EN AMERICA LATINA,ICA070-1
ICA081,1,LIDERAZGO Y EMPRENDIMIENTO PERSONAL,ICA081-1
ICA083,1,INNOVACION Y EMPRENDIMIENTO SOCIAL,ICA083-1
ICC011,1,FUNDAMENTOS DE SUSTENTABILIDAD,ICC011-1
ICC012,1,TALLER DE RAP Y FREESTYLE,ICC012-1
ICR010,1,ANTROPOLOGÍA CRISTIANA,ICR010-1
ICR020,1,ÉTICA CRISTIANA,ICR020-1
IER025,1,LA RELIGION DESPUES DE FREUD,IER025-1
IER080,1,TALLER DE BIOETICA MEDIO AMBIENTAL,IER080-1
INF055,1,INNOVACION BASADA EN INTELIGENCIA ARTIFICIAL (I+IA),INF055-1
ING9000,1,INGLES BASICO,ING9000-1
IPA010,1,EL MAR DE CHILE Y EL USO DE SUS RECURSOS MARINOS VIVOS,IPA010-1
KIN031,1,HABITOS SALUDABLES EN EL CICLO VITAL: UNA MIRADA DESDE LA KINESIOLOGIA,KIN031-1
